datasets_size,co2_eq_emissions,training_type,performance_metrics,performance_score,downloads,likes,size,size_efficency,datasets_size_efficency,auto,metric_accuracy,metric_f1,metric_rouge1,metric_rougeL
,17.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,39,0,990280781.0,58251810.64705882,,False,,,,
,51.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,4,0,3132640293.0,61424319.47058824,,False,,,,
,51.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,19,0,3132640293.0,61424319.47058824,,False,,,,
,51.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,4,0,3132640293.0,61424319.47058824,,False,,,,
,51.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,7,0,3132640293.0,61424319.47058824,,False,,,,
,51.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,924,0,3132640293.0,61424319.47058824,,False,,,,
58723160.0,51.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,319,2,3132640293.0,61424319.47058824,1151434.5098039217,False,,,,
58723160.0,51.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,7758,1,3132640293.0,61424319.47058824,1151434.5098039217,False,,,,
,51.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,7,0,3132640293.0,61424319.47058824,,False,,,,
,51.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,68,0,3132640293.0,61424319.47058824,,False,,,,
,8.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,6,0,307824645.0,38478080.625,,False,,,,
,8.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,12,0,307824645.0,38478080.625,,False,,,,
,8.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,4,0,307824645.0,38478080.625,,False,,,,
,8.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,7,0,307824645.0,38478080.625,,False,,,,
,8.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,15,1,307824645.0,38478080.625,,False,,,,
58723160.0,8.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,8,1,307824645.0,38478080.625,7340395.0,False,,,,
58723160.0,8.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,6,0,307824645.0,38478080.625,7340395.0,False,,,,
